,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
13174,RL_JUD_TBL_ESTADO,,ESTADO,JURIDICO,JURIDICO
13219,RL_CCC_PROPOSTAS,,CCC_C22_PROPOSTAS,CONSIGCARD,CARTOES
13220,RL_CCC_CONVENIO,STG_CCC_F06_CONVENIO,CCC_F06_CONVENIO,CONSIGCARD,CARTOES
13226,RL_CCC_CONVENIO,,CCC_F06_CONVENIO,CONSIGCARD,CARTOES
13228,RL_CCC_F08_PROPOSTA,STG_CCC_F08_PROPOSTA,CCC_F08_PROPOSTA,CONSIGCARD,CARTOES
13248,RL_CGO_ORIGEM_2,,TORG2,PANCRED,PANCRED
13249,RL_CGO_ORIGEM_3,STG_CGO_TORG3,TORG3,PANCRED,PANCRED
13258,RL_CGO_ORIGEM_3,,TORG3,PANCRED,PANCRED
13261,RL_CGO_ORIGEM_4,STG_CGO_TORG4,TORG4,PANCRED,PANCRED
13271,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_INQ_DIF_COL,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
13279,RL_JUD_TBL_LAWYER,,LAWYER,JURIDICO,JURIDICO
13307,RL_JUD_TBL_RECURSO_TIPO,,RECURSO_TIPO,JURIDICO,JURIDICO
13315,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_TIPOPREENCERRA,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
13392,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_TBL_CIVEL_TD_EMPRESA,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
13428,RL_CCC_CARTAOCALCULO,STG_CCC_C239_CARTAOCALCULO,CCC_C239_CARTAOCALCULO,CONSIGCARD,CARTOES
13439,RL_CCC_CARTAOCALCULO,,CCC_C239_CARTAOCALCULO,CONSIGCARD,CARTOES
13440,RL_CCC_CRTCALCEXCLUIDO,STG_CCC_C240_CRTCALCEXCLUIDO,CCC_C240_CARTAOCALCULOEXCLUIDO,CONSIGCARD,CARTOES
13451,RL_CCC_CRTCALCEXCLUIDO,,CCC_C240_CARTAOCALCULOEXCLUIDO,CONSIGCARD,CARTOES
13453,RL_CCC_CARTAOCLIENTE,STG_CCC_C241_CARTAOCLIENTE,CCC_C241_CARTAOCLIENTE,CONSIGCARD,CARTOES
13457,RL_CCC_CARTAOCLIENTE,,CCC_C241_CARTAOCLIENTE,CONSIGCARD,CARTOES
13459,RL_CGO_ORIGEM_4,,TORG4,PANCRED,PANCRED
13461,RL_CGO_ORIGEM_5,STG_CGO_TORG5,TORG5,PANCRED,PANCRED
13471,RL_CGO_ORIGEM_5,,TORG5,PANCRED,PANCRED
13472,RL_CGO_PARAMETRO,STG_CGO_TMTPARA,TMTPARA,PANCRED,PANCRED
13479,RL_CGO_PARAMETRO,,TMTPARA,PANCRED,PANCRED
13480,RL_CGO_PRODUTO,STG_CGO_TPROD,TPROD,PANCRED,PANCRED
13481,RL_CGO_PRODUTO,,TPROD,PANCRED,PANCRED
