,TABELA_DESTINO,TABELA_ORIGEM,TABELA_ORIGEM_SISTEMA,SISTEMA,ASSUNTO
0,RL_CPE_CLIENTES,STG_CPE_CCLIE,CCLIE,EMPRESTIMO PESSOAL,CREDITO PESSOAL
32,RL_CPE_MODALIDADE,STG_CPE_TMODA,TMODA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
64,RL_CPE_MOTIVO_ACORDO,STG_CPE_TMOTI,TMOTI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
69,RL_CPE_MOV_FINANCEIRA,STG_CPE_EFINA,EFINA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
74,RL_CPE_MOV_FINANCEIRA,,EFINA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
75,RL_CPE_MOV_OPERACOES,STG_CPE_EMOV1,EMOV1,EMPRESTIMO PESSOAL,CREDITO PESSOAL
90,RL_CPE_MOV_OPERACOES,,EMOV1,EMPRESTIMO PESSOAL,CREDITO PESSOAL
91,RL_CPE_MOV_PROPOSTA_ACORDO,STG_CPE_CMOVP,CMOVP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
105,RL_CPE_MOV_PROPOSTA_ACORDO,,CMOVP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
106,RL_CPE_OFER_LIMITE_EMERGENCIAL,STG_CPE_OFER_LIMITE_EMERGENCIAL,oferta_limite_emergencial,GESTOR DE ACORDOS,CREDITO PESSOAL
116,RL_CPE_OPERACOES,STG_CPE_COPER,COPER,EMPRESTIMO PESSOAL,CREDITO PESSOAL
132,RL_CPE_ESTEIRA_ACORDO,STG_CPE_TDECI,TDECI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
159,RL_CPE_ESTEIRA_ACORDO,,TDECI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
160,RL_CPE_EXT_CLASS_NIVEL,STG_CPE_ECLAS,ECLAS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
166,RL_CPE_EXT_CLASS_NIVEL,,ECLAS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
167,RL_CPE_HIST_FINANCEIROS,STG_CPE_THFIN,THFIN,EMPRESTIMO PESSOAL,CREDITO PESSOAL
180,RL_CPE_LANC_CONTABEIS,STG_CPE_ECONTA,ECONTA,EMPRESTIMO PESSOAL,CREDITO PESSOAL
181,RL_CPE_LANC_MANUAIS,STG_CPE_EXCMDC,EXCMDC,EMPRESTIMO PESSOAL,CREDITO PESSOAL
204,RL_CPE_LIMITE,STG_CPE_LIMITE,limites,EMPRESTIMO PESSOAL,CREDITO PESSOAL
206,RL_CPE_LIMITE,,limites,EMPRESTIMO PESSOAL,CREDITO PESSOAL
290,RL_CPE_CNS_SERVCON,STG_CPE_ECONSULT,ECONSULT,EMPRESTIMO PESSOAL,CREDITO PESSOAL
299,RL_CPE_COMISSAO_DESP,CCOMI,CCOMI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
320,RL_CPE_COMISSAO_DESP,,CCOMI,EMPRESTIMO PESSOAL,CREDITO PESSOAL
321,RL_CPE_COMISSIONADOS,STG_CPE_TASSE,TASSE,EMPRESTIMO PESSOAL,CREDITO PESSOAL
335,RL_CPE_COMIS_DESP_PROPOSTAS,STG_CPE_CCOMP,CCOMP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
347,RL_CPE_CONTABIL_PARC,STG_CPE_ECNTP,ECNTP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
355,RL_CPE_CONTABIL_PARC,,ECNTP,EMPRESTIMO PESSOAL,CREDITO PESSOAL
356,RL_CPE_DOCUMENTOS_PGTO,STG_CPE_CDOCS,CDOCS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
374,RL_CPE_DOCUMENTOS_PGTO,,CDOCS,EMPRESTIMO PESSOAL,CREDITO PESSOAL
398,RL_CRT_CARTEIRA,STG_CRT_CARTEIRA,TAB_CARTEIRA,INTERSIC,CARTOES
402,RL_CRT_CLEARSALEPROCESS_GCC,STG_CRT_CLEARSALEPROCESS_GCC,CLEARSALEPROCESSAMENTO,GCC,CARTOES
408,RL_CRT_CLIENTE,STG_CRT_CLIENTE,TAB_CLIENTE,INTERSIC,CARTOES
420,RL_CRT_CLIENTE_GCC,STG_CRT_CLIENTE_GCC,CLIENTE,DB CARTOES,CARTOES
423,RL_CRT_ARQ_AUTORIZACAO,STG_CRT_ARQ_AUTORIZACAO,,DB CARTOES,CARTOES
425,RL_CRT_ARQ_FATURA_INTERNET,STG_CRT_ARQ_FATURA_INTERNET,ARQ_FATURA_INTERNET,DB CARTOES,CARTOES
455,RL_CRT_ARQ_FATURA_INTERNET,,ARQ_FATURA_INTERNET,DB CARTOES,CARTOES
456,RL_CRT_ARQ_FAT_PARC_ROTAT,STG_CRT_ARQ_FAT_PARC_ROTAT,ARQ_FATURA_PARC_ROTATIVO,DB CARTOES,CARTOES
462,RL_CRT_ARQ_FAT_PARC_ROTAT,,ARQ_FATURA_PARC_ROTATIVO,DB CARTOES,CARTOES
463,RL_CRT_ARQ_FAT_PARC_ROT_ENC,STG_CRT_ARQ_FAT_PARC_ROT_ENC,ARQ_FATURA_PARC_ROTATIVO_ENCARGO,DB CARTOES,CARTOES
468,RL_CRT_ARQ_FAT_PARC_ROT_ENC,,ARQ_FATURA_PARC_ROTATIVO_ENCARGO,DB CARTOES,CARTOES
469,RL_CRT_ARQ_FAT_PARC_ROT_FIN,STG_CRT_ARQ_FAT_PARC_ROT_FIN,ARQ_FATURA_PARC_ROTATIVO_FINANC,DB CARTOES,CARTOES
472,RL_CRT_ARQ_FAT_PARC_ROT_FIN,,ARQ_FATURA_PARC_ROTATIVO_FINANC,DB CARTOES,CARTOES
473,RL_CRT_ARQ_IST_MASTERCARD,STG_CRT_ARQ_IST_MASTERCARD,,DB CARTOES,CARTOES
482,RL_CRT_ARQ_IST_MASTERCARD,,,DB CARTOES,CARTOES
484,RL_CRT_ARQ_IST_TECBAN,STG_CRT_ARQ_IST_TECBAN,,DB CARTOES,CARTOES
497,RL_CRT_ARQ_IST_TECBAN,,,DB CARTOES,CARTOES
498,RL_CRT_ARQ_IST_VISA,STG_CRT_ARQ_IST_VISA,BDIDIA025I_IST_VISA,DB CARTOES,CARTOES
513,RL_CRT_ARQ_IST_VISA,,BDIDIA025I_IST_VISA,DB CARTOES,CARTOES
514,RL_CRT_ARQ_MONETARIO,STG_CRT_ARQ_MONETARIO,ARQ_MONETARIO,DB CARTOES,CARTOES
525,RL_CRT_ARQ_OPER_AFATURAR,STG_CRT_ARQ_OPER_AFATURAR,ARQ_OPER_AFATURAR,DB CARTOES,CARTOES
576,RL_CRT_CAD_FATURA,STG_CRT_CAD_FATURA,CAD_FATURA,DB CARTOES,CARTOES
577,RL_CRT_CAD_FATURA,,CAD_FATURA,DB CARTOES,CARTOES
578,RL_CRT_CAD_MOTDEV,STG_CRT_CAD_MOTDEV,CAD_MOTDEV,DB CARTOES,CARTOES
580,RL_CRT_CAD_MOTDEV,,CAD_MOTDEV,DB CARTOES,CARTOES
581,RL_CRT_CAD_PLASTICO,STG_CRT_CAD_PLASTICO,CAD_PLASTICO,DB CARTOES,CARTOES
618,RL_CRT_CAD_PLASTICO,,CAD_PLASTICO,DB CARTOES,CARTOES
619,RL_CRT_CAD_PLASTICO_COMPL,STG_CRT_CAD_PLASTICO_COMPL,CAD_PLASTICO_COMPL,DB CARTOES,CARTOES
631,RL_CRT_CAD_PLASTICO_COMPL,,CAD_PLASTICO_COMPL,DB CARTOES,CARTOES
632,RL_CRT_CAD_VENDA_CARTAO_WEB,STG_CRT_CAD_VENDA_CARTAO_WEB,CAD_VENDA_CARTAO_WEB,DB CARTOES,CARTOES
641,RL_CRT_CAD_VENDA_WEB_PAR,STG_CRT_CAD_VENDA_WEB_PAR,CAD_VENDA_CARTAO_WEB_PARAMETROS,DB CARTOES,CARTOES
643,RL_CRT_CAD_VENDA_WEB_PAR,,CAD_VENDA_CARTAO_WEB_PARAMETROS,DB CARTOES,CARTOES
662,RL_CRT_ACORDO,STG_CRT_ACORDO,TAB_ACORDO,INTERSIC,CARTOES
675,RL_CLI_COMPL_FUNCAO,STG_VCL_CCLIP,CCLIP,NPV,VEICULOS
717,RL_CRT_ARQ_OPER_AFATURAR,,ARQ_OPER_AFATURAR,DB CARTOES,CARTOES
719,RL_CRT_ARQ_PARCEL_FATURA,STG_CRT_ARQ_PARCEL_FATURA,ARQ_PARCELAMENTO_FATURA,DB CARTOES,CARTOES
728,RL_CRT_ARQ_TRANSACAO_INTERNET,STG_CRT_ARQ_TRANSACAO_INTERNET,ARQ_TRANSACAO_INTERNET,DB CARTOES,CARTOES
731,RL_CRT_ASSESSORIA_INTERSIC,STG_CRT_CARTEIRA_INTERSIC,,DB CARTOES,CARTOES
733,RL_CRT_ASSESSORIA_INTERSIC,,,DB CARTOES,CARTOES
741,RL_CRT_ASSESSORIA_INTERSIC,RL_CRT_CARTEIRA,,DB CARTOES,CARTOES
742,RL_CRT_ASSESSORIA_INTERSIC,RL_CRT_TITULO,,DB CARTOES,CARTOES
744,RL_CRT_CAD_CLIENTE_COMPL,STG_CRT_CAD_CLIENTE_COMPL,,DB CARTOES,CARTOES
748,RL_CRT_CAD_CONTA,STG_CRT_CAD_CONTA,CAD_CONTA,DB CARTOES,CARTOES
790,RL_CRT_CAD_CONTA,,CAD_CONTA,DB CARTOES,CARTOES
791,RL_CRT_CAD_CONTA_COMPL,STG_CRT_CAD_CONTA_COMPL,CAD_CONTA_COMPL,DB CARTOES,CARTOES
817,RL_CPE_PARC_OPERACOES,STG_CPE_CPARC,CPARC,EMPRESTIMO PESSOAL,CREDITO PESSOAL
922,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_PROCESSO,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
941,RL_JUD_TBL_LAWYER,STG_JUD_TBL_LAWYER,LAWYER,JURIDICO,JURIDICO
944,RL_JUD_TBL_LIMINAR_ANTEC_TUTELA,STG_JUD_TBL_LIMINAR_ANTEC_TUTELA,LIMINAR_ANTECIPACAO_TUTELA,JURIDICO,JURIDICO
955,RL_JUD_TBL_LIMINAR_ANTEC_TUTELA,,LIMINAR_ANTECIPACAO_TUTELA,JURIDICO,JURIDICO
956,RL_JUD_TBL_MOTIVO_ENCERRAMENTO,STG_JUD_TBL_MOTIVO_ENCERRAMENTO,MOTIVO_ENCERRAMENTO,JURIDICO,JURIDICO
959,RL_JUD_TBL_ORGAO,STG_JUD_TBL_ORGAO,ORGAO,JURIDICO,JURIDICO
963,RL_JUD_TBL_ORGAO,,ORGAO,JURIDICO,JURIDICO
964,RL_JUD_TBL_PRC_AMOUNT,STG_JUD_TBL_PRC_AMOUNT,PRC_AMOUNT,JURIDICO,JURIDICO
1008,RL_JUD_TBL_PRC_AMOUNT_OBJ,STG_JUD_TBL_PRC_AMOUNT_OBJ,PRC_AMOUNT_OBJ,JURIDICO,JURIDICO
1039,RL_JUD_TBL_GED_E_FILE,STG_JUD_TBL_GED_E_FILE,GED_E_FILE,JURIDICO,JURIDICO
1050,RL_JUD_TBL_GED_E_FILE,,GED_E_FILE,JURIDICO,JURIDICO
1051,RL_JUD_TBL_GER_ACORDO_CONTRACT,STG_JUD_TBL_GER_ACORDO_CONTRACT,GERENC_ACORDO_CONTRACT,JURIDICO,JURIDICO
1066,RL_JUD_TBL_PROCESSO,STG_JUD_TBL_PROCESSO,PROCESSO,JURIDICO,JURIDICO
1085,RL_JUD_TBL_PROCESSO,,PROCESSO,JURIDICO,JURIDICO
1086,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_REGISTRATION,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
1087,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_ESCRITORIO,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
1088,RL_JUD_TBL_PROCESSOS_PANJUD,RL_JUD_TBL_COMARCA,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
1089,RL_JUD_TBL_PROCESSOS_PANJUD,,RL_JUD_TBL_AREA;RL_JUD_TBL_COMARCA;RL_JUD_TBL_ESCRITORIO;RL_JUD_TBL_PROCESSO;RL_JUD_TBL_PROCESSO_TIPO;RL_JUD_TBL_REGISTRATION;RL_JUD_TBL_VARA;,JURIDICO,JURIDICO
1134,RL_JUD_TBL_E_FILE_TIPO,STG_JUD_TBL_E_FILE_TIPO,E_FILE_TIPO,JURIDICO,JURIDICO
1149,RL_JUD_TBL_E_FILE_TIPO,,E_FILE_TIPO,JURIDICO,JURIDICO
1160,RL_JUR_GCAD_GAR_VEIC,STG_JUR_GCAD_GAR_VEIC,GCAD_GAR_VEIC,JURIDICO,JURIDICO
1178,RL_JUR_REL_GERENCIAL_PAGAMENTO,RL_JUR_TBL_RELATAUTORREU,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATPAGTOGEREN;RL_JUR_TBL_RELPAGREG;RL_JUR_TBL_RELPAGREGDETPROCES;RL_JUR_TBL_RELPAGREGLANCAMENT;RL_JUR_TBL_RELPAGREGVALORES;RL_JUR_TBL_TIPOACAO,JURIDICO,JURIDICO
1179,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_RELATAUTORREU,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1183,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_RELATCAUSAREAL,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1185,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_INFOPROCESSO,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1318,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_FUNCIONARIO,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1319,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_TD_ESTRAGICO,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
1320,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_RISCO_APOS,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
1321,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
1322,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_PAGTO_MES,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
1326,RL_JUR_REL_GERENCIAL_PAGAMENTO,RL_JUR_TBL_PROCESSO,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATPAGTOGEREN;RL_JUR_TBL_RELPAGREG;RL_JUR_TBL_RELPAGREGDETPROCES;RL_JUR_TBL_RELPAGREGLANCAMENT;RL_JUR_TBL_RELPAGREGVALORES;RL_JUR_TBL_TIPOACAO,JURIDICO,JURIDICO
1327,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_RELATADVOGADOPARTE,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1328,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_PROCESSO,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1333,RL_JUR_CIVEL_CADASTRADOS,RL_JUR_TBL_TIPORECEBIMENTO,RL_JUR_TBL_COMARCA;RL_JUR_TBL_ESCRITORIO;RL_JUR_TBL_FORUM;RL_JUR_TBL_FUNCIONARIO;RL_JUR_TBL_INFOPROCESSO;RL_JUR_TBL_ORGAO;RL_JUR_TBL_PESSOA;RL_JUR_TBL_POSSIPERDA;RL_JUR_TBL_PROCESSO;RL_JUR_TBL_REGIAO;RL_JUR_TBL_RELATADVOGADOPARTE;RL_JUR_TBL_RELATAUTORREU;RL_JUR_TBL_RELATCAUSARAIZ;RL_JUR_TBL_RELATCAUSAREAL;RL_JUR_TBL_RELATCONTRATOS;RL_JUR_TBL_RELATFECHAMENTO;RL_JUR_TBL_RELATLIMINAR;RL_JUR_TBL_RELATPAGTOGEREN,JURIDICO,JURIDICO
1337,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_EMPRESAS,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
1338,RL_JUR_CIVEL_PROVISAO_ATUAL,RL_JUR_CIVEL_PROVISAO_ANT,RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROV_ACAO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PAGTO_MES;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_TBL_GARANTIA;RL_JUR_CIVEL_EMPRESAS;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_TD_FILA_PAGAMENTO;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_RISCO_ELEVAD;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ATUAL;RL_JUR_CIVEL_PROVISAO_ANT;RL_JUR_CIVEL_PROVISAO_ATUAL,JURIDICO,JURIDICO
